group,var2,var3,var4,var1,var5
Andhra Pradesh,1994,13938,13205,29137,8255
Arunachal Pradesh,21095,30557,15036,66688,229
Assam,2795,10279,15253,28327,173
Bihar,333,3280,3693,7306,250
Chhattisgarh,7068,32198,16345,55611,610
Delhi,7,56,132,195,0
Goa,538,576,1123,2237,0
Gujarat,378,5092,9387,14857,2994
Haryana,28,451,1123,1602,154
Himachal Pradesh,3113,7126,5195,15434,315
Jammu & Kashmir,4281,8612,10719,23612,548
Jharkhand,2603,9687,11321,23611,688
Karnataka,4501,21048,13026,38575,4484
Kerala,1935,9508,9701,21144,13
Madhya Pradesh,6676,34341,36465,77482,6002
Maharashtra,8721,20572,21485,50778,4256
Manipur,905,6386,9556,16847,1181
Meghalaya,489,9267,7363,17119,600
Mizoram,157,5801,12048,18006,1
Nagaland,1273,4534,6679,12486,635
Odisha,6970,21552,23097,51619,4327
Punjab,8,801,1040,1849,33
Rajasthan,78,4342,12210,16630,4760
Sikkim,1102,1552,688,3342,307
Tamil Nadu,3605,11030,11729,26364,715
Telangana,1608,8787,10187,20582,3615
Tripura,654,5236,1836,7726,29
Uttar Pradesh,2617,4080,8109,14806,587
Uttarakhand,5047,12805,6451,24303,383
West Bengal,3019,4160,9723,16902,146
Andaman & Nicobar,5678,684,381,6743,1
Chandigarh,1,14,6,22,0
Dadra & Nagar Haveli,0,80,127,207,5
Daman & Diu,1,6,13,20,0
Lakshadweep,0,16,11,27,0
Puducherry,0,18,35,52,0
